step,episode,reward,model_loss,actor_loss,critic_loss
500,1,-75.43859649122804,11.571619567871094,6.909293992519379,2.8710022485256195
1000,2,-75.17730496453902,7.639138402938843,1.3269877671450376,1.8891008007526398
1500,3,-72.97297297297305,6.571956262588501,3.3158273686096074,2.8550891149044038
2000,4,-77.18631178707207,5.830756893157959,-0.44480081885063555,4.846471912860871
2500,5,-70.47970479704824,5.602494597434998,0.41286853302270177,7.818577716350555
3000,6,-80.69498069498034,5.167284059524536,-4.30293657604605,5.833577601909638
3500,7,-62.962962962963545,5.097013306617737,-2.971381847523153,6.107370314598083
4000,8,-57.0957095709579,4.925851283073425,-3.5731688505411148,6.147005634307861
4500,9,-43.60902255639153,5.13296085357666,-5.8817513871192935,11.689763669967652
5000,10,-71.32616487455226,4.904113883972168,-4.630451922323555,11.563504366874694
5500,11,-49.820788530466736,4.871515617370606,-7.10732266664505,11.628914532661438
6000,12,-55.63139931740653,4.821524286270142,-13.51144757270813,19.03790147781372
6500,13,-32.69230769230839,4.840121202468872,-11.517261590957641,22.5198562002182
7000,14,-64.0287769784178,4.836822457313538,-10.687273633480071,22.2470281124115
7500,15,-48.41269841269876,4.749253420829773,-10.736159915924071,16.9938227558136
8000,16,16.197183098590326,4.849372758865356,-10.806925845146178,14.445899429321289
8500,17,27.94612794612675,4.840351023674011,-14.83382947921753,17.224377155303955
9000,18,-12.912912912913471,4.852126016616821,-12.558269205093383,12.988291158676148
9500,19,-55.93220338983122,4.795009474754334,-6.635522303581237,12.680738277435303
10000,20,-67.7419354838715,4.737458004951477,-1.1115293555730021,10.88112536907196
10500,21,-48.27586206896606,4.753371176719665,-2.973155734091997,13.03343225479126
11000,22,-68.45425867507916,4.619036560058594,-4.114986638724804,9.092579078674316
11500,23,-63.41463414634221,4.604337062835693,-6.557087383270264,9.006395654678345
12000,24,23.711340206184268,4.75197618484497,-5.969869802594185,10.129912552833558
12500,25,-70.39473684210556,4.590687847137451,-6.828901498317719,10.245859680175782
13000,26,-30.463576158941176,4.615919928550721,-5.268378513380885,15.171897506713867
13500,27,-55.326460481100334,4.504157919883728,-2.332318344078958,13.004809837341309
14000,28,-35.018050541516985,4.546668882369995,0.546260802410543,9.386435918807983
14500,29,-10.112359550562461,4.676209616661072,1.0939303479529918,9.122993478775024
15000,30,-32.384341637011424,4.468072967529297,0.9152194986119866,9.23590440750122
15500,31,-22.535211267606375,4.493136739730835,3.0982674828823655,9.748784184455872
16000,32,-65.83850931677078,4.438747849464416,1.1337855253368616,9.809203338623046
16500,33,-58.86075949367165,4.397528614997864,2.79654390797019,9.18442847251892
17000,34,-74.11003236245956,4.357644219398498,5.226874756813049,7.7590943574905396
17500,35,-52.56916996047509,4.370546627044678,2.565203651636839,8.266656165122987
18000,36,-77.34627831715193,4.3043893671035764,3.0759122126037255,7.499565033912659
18500,37,-73.33333333333343,4.251185827255249,1.8608853604830802,8.519003868103027
19000,38,-69.69696969697007,4.291179590225219,4.327273157685995,8.456153955459595
19500,39,-80.1324503311255,4.192687973976136,4.748348455578089,7.5910161066055295
20000,40,-48.48484848484924,4.245736980438233,5.04172131896019,7.407280464172363
20500,41,8.30324909747401,4.204048104286194,1.5637540217489003,9.885103006362915
21000,42,-76.58862876254167,4.235514054298401,4.58114772617817,9.11523645401001
21500,43,-8.794788273616552,4.262820491790771,4.530577364768833,12.931251616477967
22000,44,-60.0000000000007,4.21921236038208,6.387275188267231,10.671007628440856
22500,45,-72.12543554006987,4.194641399383545,2.959643997550011,9.946437511444092
23000,46,-71.42857142857166,4.175599632263183,5.326511662006379,10.891535892486573
23500,47,-45.205479452055556,4.212531425952911,6.3179625177383425,9.435095353126526
